date,time,home_team,away_team,division,field,status,home_score,away_score
"2026-05-02","9:00 AM","12U Riptide Navy","Bold City Eagles","5/6 Grade","Field 1  - Turf Left of Concessions","Final","7","0"
"2026-05-02","9:00 AM","Creeks Blue","10U Riptide Blue","3/4 Grade","Field 2 - Behind Concessions","Final","3","4"
"2026-05-02","9:00 AM","Creeks Blue","8U Riptide White","1/2 Grade","Field 4 - Behind Concessions","Final","0","0"
"2026-05-02","9:00 AM","Riptide Black","Creeks Blue","7/8 Grade","Field 6 -Turf Closest to Racetrack","Final","5","5"
"2026-05-02","9:00 AM","Hammerhead","10U Riptide Black","3/4 Grade","Field 3 - Behind Concessions","Final","1","12"
"2026-05-02","9:00 AM","Bold City Eagles","Riptide Blue","7/8 Grade","Field 5 - Behind Turf Closest to Racetrack","Final","4","11"
"2026-05-02","9:45 AM","Creeks Green","8U Riptide White","1/2 Grade","Field 4 - Behind Concessions","Final","0","0"
"2026-05-02","10:00 AM","12U Riptide Blue","Bold City Eagles","5/6 Grade","Field 1  - Turf Left of Concessions","Final","5","6"
"2026-05-02","10:00 AM","Creeks Green","10U Riptide Navy","3/4 Grade","Field 2 - Behind Concessions","Final","2","11"
"2026-05-02","10:00 AM","Riptide White","Creeks Green","7/8 Grade","Field 6 -Turf Closest to Racetrack","Final","2","5"
"2026-05-02","10:00 AM","Fleming Island","10U Riptide Gray","3/4 Grade","Field 3 - Behind Concessions","Final","2","7"
"2026-05-02","10:00 AM","12U Riptide Black","Fleming Island","5/6 Grade","Field 5 - Behind Turf Closest to Racetrack","Final","0","10"
"2026-05-02","10:30 AM","Creeks Blue","8U Riptide Gray","1/2 Grade","Field 4 - Behind Concessions","Final","0","0"
"2026-05-02","11:00 AM","12U Riptide Gray","Jax Lax","5/6 Grade","Field 1  - Turf Left of Concessions","Final","7","8"
"2026-05-02","11:00 AM","Jax Lax","10U Riptide Black","3/4 Grade","Field 2 - Behind Concessions","Final","4","17"
"2026-05-02","11:00 AM","Jax Lax","Riptide Black","7/8 Grade","Field 6 -Turf Closest to Racetrack","Final","5","6"
"2026-05-02","11:00 AM","Jax Lax Titans","10U Riptide Blue","3/4 Grade","Field 3 - Behind Concessions","Final","9","3"
"2026-05-02","11:00 AM","Fleming Island","Hammerhead","7/8 Grade","Field 5 - Behind Turf Closest to Racetrack","Final","3","3"
"2026-05-02","11:15 AM","Creeks Green","8U Riptide Black","1/2 Grade","Field 4 - Behind Concessions","Final","0","0"
"2026-05-02","12:00 PM","12U Riptide Navy","Creeks Blue","5/6 Grade","Field 1  - Turf Left of Concessions","Final","7","3"
"2026-05-02","12:00 PM","Creeks Blue","10U Riptide Navy","3/4 Grade","Field 2 - Behind Concessions","Final","5","19"
"2026-05-02","12:00 PM","Jax Lax","8U Riptide Blue","1/2 Grade","Field 4 - Behind Concessions","Final","0","0"
"2026-05-02","12:00 PM","12U Riptide Blue","Hammerhead","5/6 Grade","Field 6 -Turf Closest to Racetrack","Final","10","8"
"2026-05-02","12:00 PM","Fleming Island","Hammerhead","3/4 Grade","Field 3 - Behind Concessions","Final","6","4"
"2026-05-02","12:00 PM","Creeks Blue","Bold City Eagles","7/8 Grade","Field 5 - Behind Turf Closest to Racetrack","Final","3","13"
"2026-05-02","12:45 PM","Fleming Island","8U Riptide Gray","1/2 Grade","Field 4 - Behind Concessions","Final","0","0"
"2026-05-02","1:00 PM","12U Riptide Gray","Creeks Green","5/6 Grade","Field 1  - Turf Left of Concessions","Final","0","3"
"2026-05-02","1:00 PM","Creeks Green","10U Riptide White","3/4 Grade","Field 2 - Behind Concessions","Delayed","2","3"
"2026-05-02","1:00 PM","Hammerhead","Riptide White","7/8 Grade","Field 6 -Turf Closest to Racetrack","Delayed","0","0"
"2026-05-02","1:00 PM","Jax Lax Titans","10U Riptide Gray","3/4 Grade","Field 3 - Behind Concessions","Delayed","1","3"
"2026-05-02","1:00 PM","12U Riptide White","Fleming Island","5/6 Grade","Field 5 - Behind Turf Closest to Racetrack","Delayed","0","0"
"2026-05-02","1:30 PM","Jax Lax","8U Riptide Black","1/2 Grade","Field 4 - Behind Concessions","Delayed","0","0"
"2026-05-02","2:00 PM","12U Riptide Black","Creeks Blue","5/6 Grade","Field 1  - Turf Left of Concessions","Final","6","3"
"2026-05-02","2:00 PM","Jax Lax","10U Riptide White","3/4 Grade","Field 2 - Behind Concessions","Delayed","0","0"
"2026-05-02","2:00 PM","Fleming Island","Riptide Blue","7/8 Grade","Field 6 -Turf Closest to Racetrack","Final","3","3"
"2026-05-02","2:00 PM","Creeks Green","Jax Lax","7/8 Grade","Field 5 - Behind Turf Closest to Racetrack","Final","6","3"
"2026-05-02","2:15 PM","Fleming Island","8U Riptide Blue","1/2 Grade","Field 4 - Behind Concessions","Delayed","0","0"
"2026-05-02","3:00 PM","Hammerhead","Jax Lax","5/6 Grade","Field 6 -Turf Closest to Racetrack","Final","4","4"
"2026-05-02","3:00 PM","12U Riptide White","Creeks Green","5/6 Grade","Field 5 - Behind Turf Closest to Racetrack","Live","0","0"